part_number	name	warranty	instock	priceOpt
2400C15S-8GRK	2x8Gb DDR4-2400 2Rx8 G.Skill F4-2400C15S-8GRK радиаторная - 2100грн, есть 4 пары	36	400	1050
HX421C14FBK2/16	2х8Gb DDR4-2133 2Rx8 Kingston HyperX FURY HX421C14FBK2/16 радиаторная - 1990грн	36	100	995
HMA81GU6CJR8N-VK	8Gb DDR4-2666 1Rx8 Hynix HMA81GU6CJR8N-VK - 950грн, есть 2шт уехали 2шт	36	200	475
HP26D4U9S8MD	8Gb DDR4-2666 1Rx8 Kingston HP26D4U9S8MD-8 чипы Micron E-die - 950грн, есть 5шт	36	500	475
HP26D4U9S8ME	8Gb DDR4-2666 1Rx8 Kingston HP26D4U9S8ME-8 чипы Micron E-die - 950грн, есть 6шт	36	600	475
MTA16ATF1G64AZ-2G6E1	8Gb DDR4-2666 1Rx8 Micron MTA16ATF1G64AZ-2G6E1 - 950грн, есть 3шт	36	300	475
RMUA5110MH78HAF-2666	8Gb DDR4-2666 1Rx8 Ramaxel RMUA5110MH78HAF-2666 чипы Micron E-die - 950грн	36	100	475
M378A1K43DB2-CTD	8Gb DDR4-2666 1Rx8 Samsung M378A1K43DB2-CTD - 950грн, есть 12шт	36	900	475
M378A1G43TB1-CTD	8Gb DDR4-2666 2Rx8 Samsung M378A1G43TB1-CTD - 990грн, есть 4шт	36	400	495
HMA81GU6AFR8N-UH	8Gb DDR4-2400 1Rx8 Hynix HMA81GU6AFR8N-UH - 900грн, есть 4шт	36	400	450
HP24D4U7S8MBP	8Gb DDR4-2400 1Rx8 Kingston HP24D4U7S8MBP-8 - 900грн, есть 3шт	36	300	450
KM0VW4-MID	8Gb DDR4-2400 1Rx8 Kingston KM0VW4-MID - 900грн, есть 2шт	36	200	450
MTA8ATF1G64AZ-2G3B1	8Gb DDR4-2400 1Rx8 Micron MTA8ATF1G64AZ-2G3B1 - 900грн, есть 13шт	36	900	450
MTA8ATF1G64AZ-2G3E1	8Gb DDR4-2400 1Rx8 Micron MTA8ATF1G64AZ-2G3E1 - 900грн	36	100	450
MTA8ATF1G64AZ-2G3H1	8Gb DDR4-2400 1Rx8 Micron MTA8ATF1G64AZ-2G3H1 - 900грн, есть 3шт	36	300	450
RMUA5110MB78HAF-2400	8Gb DDR4-2400 1Rx8 Ramaxel RMUA5110MB78HAF-2400 чипы Micron - 900грн уехала	36	100	450
M378A1K43CB2-CRC	8Gb DDR4-2400 1Rx8 Samsung M378A1K43CB2-CRC - 900грн, есть 3шт	36	300	450
MTA16ATF1G64AZ-2G1B1	8Gb DDR4-2133 2Rx8 Micron MTA16ATF1G64AZ-2G1B1 - 900грн, есть 6шт	36	600	450
M378A1K43BB1-CPB	8Gb DDR4-2133 1Rx8 Samsung M378A1K43BB1-CPB - 900грн, есть 5шт	36	500	450
HMA851U6CJR6N-VK	4Gb DDR4-2666 1Rx16 Hynix HMA851U6CJR6N-VK - 500грн	36	100	250
HMA851U6JJR6N-VK	4Gb DDR4-2666 1Rx16 Hynix HMA851U6JJR6N-VK - 500грн, есть 5шт	36	500	250
HP26D4U9S1ME	4Gb DDR4-2666 1Rx16 Kingston HP26D4U9S1ME-4 чипы Micron - 500грн, есть 4шт	36	400	250
M378A5244CB0-CTD	4Gb DDR4-2666 1Rx16 Samsung M378A5244CB0-CTD - 500грн, есть 6шт	36	600	250
HMA851U6AFR6N-UH	4Gb DDR4-2400 1Rx16 Hynix HMA851U6AFR6N-UH - 450грн, есть 7шт	36	700	225
HMA851U6CJR6N-UH	4Gb DDR4-2400 1Rx16 Hynix HMA851U6CJR6N-UH - 450грн, есть 6шт	36	600	225
MTA4ATF51264AZ-2G3B1	4Gb DDR4-2400 1Rx16 Micron MTA4ATF51264AZ-2G3B1 - 450грн, есть 2шт	36	200	225
M378A5244CB0-CRC	4Gb DDR4-2400 1Rx16 Samsung M378A5244CB0-CRC - 450грн, есть 4шт	36	400	225
HMA451U6AFR8N-TF	4Gb DDR4-2133 1Rx8 Hynix HMA451U6AFR8N-TF - 450грн, есть 4шт резерв 1шт	36	400	225
